latitude,longitude,"City, Country"
19.944111,26.228083,", Sudan"
-52.343695,-47.887828,Error
68.997157,173.396684,", Russia"
34.909016,103.164075,"Zuogaiduoma, China"
32.988859,32.234936,Error
-50.498253,-91.137594,Error
46.166127,-87.073986,", United States"
69.714553,92.357163,", Russia"
38.12088,115.97817,"Hengshui, China"
81.886622,-43.849635,", Greenland"
-86.59932,-161.131751,Not Found
38.047158,-123.505751,Error
53.587489,29.812447,"Доўгаўскі сельскі Савет, Belarus"
-34.439497,-100.76587,Error
75.525967,13.354648,Error
20.755408,102.61065,", Laos"
27.853343,147.665148,Error
-80.166124,73.697969,Error
-50.521439,78.744473,Error
68.448107,121.743094,", Russia"
-54.546381,-166.282053,Error
-22.883204,140.494732,", Australia"
59.032387,52.728015,", Russia"
48.958369,54.050978,", Kazakhstan"
13.3136,-170.999427,Error
-65.289391,-166.431613,Not Found
36.953117,86.817203,"Koramlik, China"
-46.565147,71.345476,Error
-82.853337,-171.878498,Not Found
-45.801232,-45.928271,Error
-45.063217,25.414375,Error
23.818488,-148.611601,Error
-35.227662,112.842774,Error
-35.633636,36.810201,Error
-59.872218,-148.048341,Error
27.002793,-120.558946,Error
73.388051,20.36669,Error
-83.623067,-9.827629,Error
32.978421,-43.776872,Error
-50.106559,-155.664376,Error
-2.395072,-117.939073,Error
13.650951,-107.42209,Error
-46.883235,-90.183889,Error
24.756145,61.741309,Error
-54.301943,-59.990984,Error
-9.192887,130.963746,Not Found
-40.297221,-51.391023,Error
35.505385,35.107309,Error
-57.701685,122.421974,Error
81.222294,35.44313,Error
-9.035979,85.542556,Error
-37.190364,21.155325,Error
-15.797864,129.086441,", Australia"
-87.862196,121.52313,Not Found
-70.600354,-51.379576,Error
-37.899292,155.263677,Error
-14.465456,81.379726,Error
-24.578696,-23.715804,Error
-65.268368,110.236242,Not Found
58.571392,95.218911,", Russia"
71.508746,-6.429733,Error
5.285067,81.24223,Error
44.092179,-59.142655,Error
77.69797,7.530159,Error
-68.615556,157.746197,Not Found
66.571816,163.237302,", Russia"
-64.584674,-18.725536,Not Found
77.52269,-86.390697,", Canada"
32.421551,55.599267,"دهستان رباطات, Iran"
-29.437558,169.085987,Error
-40.96053,-172.467276,Error
-56.116557,-26.028591,Error
-21.531911,-128.303588,Error
53.363303,-117.780742,", Canada"
83.925964,20.855163,Not Found
50.77864,-28.940249,Error
27.51296,155.230278,Error
-25.333987,-101.031643,Error
-77.037941,58.231179,Error
45.80685,51.129518,Error
59.516572,124.573671,", Russia"
-36.836528,-176.308215,Error
-57.8332,-177.210504,Error
69.579798,67.836432,", Russia"
42.399035,167.358269,Error
-45.095138,-130.298281,Error
-49.602663,-140.652595,Error
14.725139,-49.221185,Error
-53.684803,-164.605256,Error
70.682263,-176.38866,Error
35.2894,115.418365,"Mudan District, China"
67.116649,-92.772923,", Canada"
7.713454,-157.099,Error
27.599897,32.257895,", Egypt"
-15.83208,173.645478,Error
-21.562677,-115.182177,Error
11.251358,22.531802,", Chad"
3.720514,-110.888786,Error
54.63608,-100.919367,", Canada"
64.377673,6.050466,Error
68.453494,109.175544,", Russia"
61.039986,-63.718519,Error
61.155472,-44.226931,", Greenland"
48.609982,73.795317,", Kazakhstan"
9.255252,-11.835365,", Sierra Leone"
-0.058825,141.52983,Error
-68.435214,171.639929,Not Found
29.057846,-125.855069,Error
-21.991237,70.9926,Error
-76.106641,-163.940683,Not Found
37.525813,52.736291,Error
-85.398364,72.868522,Not Found
-67.331837,-95.634527,Error
-5.837602,-20.99889,Error
-76.234303,-173.829008,Not Found
47.876675,-44.107238,Error
-40.027366,-173.514583,Error
-54.07591,159.464693,Error
36.194788,83.57719,", China"
67.048977,152.450104,", Russia"
-51.036539,23.656377,Not Found
-61.110345,87.353726,Not Found
-39.360859,-15.687106,Error
-1.423696,25.802269,"Kindu, Democratic Republic of the Congo"
-38.034347,-134.854418,Error
43.478488,-124.703595,Not Found
50.885737,-71.778303,"Passes-Dangereuses, Canada"
-53.234064,-127.573339,Error
-52.667416,-61.426994,Error
39.837547,15.966128,"Mormanno, Italy"
40.215234,-99.01373,", United States"
-8.901364,163.008281,Error
-31.097041,154.165787,Error
-15.963342,-97.359688,Error
59.592944,151.165395,", Russia"
80.454274,-78.801932,", Canada"
78.958744,-121.466317,Not Found
80.302769,-60.510624,", Greenland"
30.531187,148.298892,Error
-77.145813,-55.253251,Not Found
2.535024,6.820657,Error
-23.224285,59.329849,Error
-58.959723,82.243897,Error
-43.097675,-7.997793,Error
-72.081241,-178.870028,Not Found
36.320958,6.973121,"Aïn Abid, Algeria"
-57.76248,-0.296456,Error
-37.706151,-35.105313,Error
-31.260148,-54.791356,"Dom Pedrito, Brazil"
-30.63354,-55.962742,"Sant'Ana do Livramento, Brazil"
-58.475451,63.689237,Error
17.444346,76.391418,"ನಿಂಬಾಳ, India"
-85.015682,-13.869819,Not Found
51.750888,39.714471,", Russia"
-9.67839,-85.881838,Error
72.685324,37.289059,Error
19.319202,-116.272202,Error
4.550093,-100.123791,Error
3.602772,86.984603,Error
-60.676361,-53.571792,Error
67.114372,15.524067,", Norway"
78.247442,-140.212488,Not Found
-58.640913,-106.820179,Error
80.766679,71.734375,Not Found
-77.662236,50.613629,Error
-33.400998,77.974972,Error
53.03844,17.213144,"Szamocin, Poland"
81.083548,138.025159,Not Found
-48.226753,-41.530541,Error
-13.956652,77.822198,Error
79.688544,-145.764185,Not Found
-9.607391,161.811368,", Solomon Islands"
-30.463477,72.967255,Error
-84.73177,-63.29619,Not Found
28.281488,-125.849439,Error
6.75617,79.80785,"Moratuwa, Sri Lanka"
26.820762,-144.266635,Error
66.871364,-151.692426,", United States"
-28.460678,-43.111786,Error
-80.723496,179.664661,Not Found
-51.852151,154.239807,Error
1.597832,-117.898763,Error
85.165465,148.11895,Not Found
61.004456,49.650308,", Russia"
9.932822,-104.895662,Error
-83.184662,4.729684,Error
-3.262639,59.851446,Error
-3.003449,125.537403,", Indonesia"
35.01421,-68.761526,Error
-34.610485,75.731554,Error
-60.241584,178.89106,Not Found
63.474893,97.343074,", Russia"
-50.676136,-30.236841,Error
-48.631504,112.179426,Error
-59.187341,-142.692946,Error
72.657084,159.567391,Error
76.693669,14.787786,Error
54.038515,76.304779,", Kazakhstan"
61.571877,7.095596,", Norway"
82.248041,9.154199,Error
-76.300721,47.724198,Error
-71.116001,53.558456,Error
-69.224914,8.315345,Not Found
-25.964345,19.657685,", Namibia"
-44.295779,-159.169677,Error
-36.146249,146.49704,", Australia"
-22.389199,153.117257,Error
48.802887,71.73414,", Kazakhstan"
58.756469,-154.717828,", United States"
-52.957502,59.119297,Error
-17.799939,-69.066009,"Municipio Charaña, Bolivia"
32.670231,134.545254,Error
78.794764,-97.498207,", Canada"
-79.77322,94.138094,Error
59.916673,-158.258473,", United States"
76.725564,-92.122116,", Canada"
70.979828,-69.349456,", Canada"
56.823748,171.497995,Error
-24.259794,112.029429,Error
-89.68085,26.774599,Not Found
57.877122,38.512024,", Russia"
60.868716,-141.621817,", United States"
53.893264,3.884964,Error
46.441567,-63.422571,"Hope River, Canada"
-26.993491,-141.983627,Error
-85.695299,36.497062,Not Found
47.991905,-146.656841,Error
12.318994,146.245289,Error
84.035706,114.687545,Not Found
-69.899046,94.575793,Error
-3.909207,-154.415264,Error
9.914682,-175.069871,Not Found
-79.496518,-133.894791,Error
2.434672,-10.520062,Error
45.691345,-144.770002,Error
-33.501204,131.952677,Error
58.785804,-121.064465,", Canada"
-2.638197,-161.600309,Error
-50.11544,-70.213321,", Argentina"
-30.286654,-143.015699,Error
45.071967,-109.908475,", United States"
-45.979321,128.015637,Error
33.129827,-16.659356,Error
27.867645,-156.393546,Error
15.956701,-84.823817,", Honduras"
-36.706213,179.526528,Not Found
-14.624514,107.402422,Error
-24.837212,117.885315,", Australia"
51.187496,-112.925241,", Canada"
-20.74123,25.747125,"Thabatshukudu, Botswana"
36.373001,120.606079,"Jimo, China"
-55.527516,136.297399,Error
-31.963893,-123.009556,Error
74.560342,-73.85973,Error
